,origin,dest,line
2702,A31-A-N,A28-A-N,A
2703,A32-A-N,A34-A-N,A
2704,A32-A-N,A31-A-N,A
2705,A36-A-N,A38-A-N,A
2706,A36-A-N,A34-A-N,A
2707,A40-A-N,A41-A-N,A
2708,A40-A-N,A38-A-N,A
2709,A42-A-N,A41-A-N,A
2710,A46-A-N,A48-A-N,A
2711,A46-A-N,A42-A-N,A
2712,A48-A-N,A51-A-N,A
2713,A51-A-N,A55-A-N,A
2714,A55-A-N,A57-A-N,A
2715,A59-A-N,A60-A-N,A
2716,A59-A-N,A57-A-N,A
2717,A60-A-N,A61-A-N,A
2718,A61-A-N,A63-A-N,A
2719,A64-A-N,A63-A-N,A
2720,A64-A-N,A65-A-N,A
2721,H01-A-N,A61-A-N,A
2722,H02-A-N,H01-A-N,A
2723,H03-A-N,H04-A-N,A
2724,H03-A-N,H02-A-N,A
2725,H06-A-N,H04-A-N,A
2726,H07-A-N,H06-A-N,A
2727,H08-A-N,H07-A-N,A
2728,H09-A-N,H08-A-N,A
2729,H10-A-N,H11-A-N,A
2730,H10-A-N,H09-A-N,A
2731,H12-A-N,H13-A-N,A
2732,H12-A-N,H04-A-N,A
2733,H13-A-N,H14-A-N,A
2734,H14-A-N,H15-A-N,A
2735,A09-C-N,A10-C-N,C
2736,A09-C-N,A12-C-N,C
2737,A11-C-N,A12-C-N,C
2738,A11-C-N,A10-C-N,C
2739,A14-C-N,A12-C-N,C
2740,A15-C-N,A14-C-N,C
2741,A15-C-N,A16-C-N,C
2742,A15-C-N,A12-C-N,C
2743,A17-C-N,A16-C-N,C
2744,A17-C-N,A18-C-N,C
2745,A19-C-N,A18-C-N,C
2746,A20-C-N,A19-C-N,C
2747,A20-C-N,A21-C-N,C
2748,A21-C-N,A22-C-N,C
2749,A22-C-N,A24-C-N,C
2750,A24-C-N,A27-C-N,C
2751,A24-C-N,A25-C-N,C
2752,A24-C-N,A15-C-N,C
2753,A25-C-N,A27-C-N,C
2754,A27-C-N,A28-C-N,C
2755,A30-C-N,A28-C-N,C
2756,A31-C-N,A30-C-N,C
2757,A31-C-N,A28-C-N,C
2758,A32-C-N,A34-C-N,C
2759,A32-C-N,A31-C-N,C
2760,A33-C-N,A34-C-N,C
2761,A33-C-N,A32-C-N,C
2762,A36-C-N,A38-C-N,C
2763,A36-C-N,A34-C-N,C
2764,A40-C-N,A41-C-N,C
2765,A40-C-N,A38-C-N,C
2766,A42-C-N,A41-C-N,C
2767,A42-C-N,A43-C-N,C
2768,A44-C-N,A43-C-N,C
2769,A45-C-N,A44-C-N,C
2770,A46-C-N,A48-C-N,C
2771,A46-C-N,A42-C-N,C
2772,A46-C-N,A47-C-N,C
2773,A46-C-N,A45-C-N,C
2774,A47-C-N,A48-C-N,C
2775,A48-C-N,A49-C-N,C
2776,A48-C-N,A51-C-N,C
2777,A49-C-N,A50-C-N,C
2778,A51-C-N,A55-C-N,C
2779,A51-C-N,A52-C-N,C
2780,A51-C-N,A50-C-N,C
2781,A53-C-N,A52-C-N,C
2782,A54-C-N,A55-C-N,C
2783,A54-C-N,A53-C-N,C
2784,A15-B-N,A14-B-N,B
2785,A15-B-N,A16-B-N,B
2786,A17-B-N,A16-B-N,B
2787,A17-B-N,A18-B-N,B
2788,A19-B-N,A18-B-N,B
2789,A20-B-N,A19-B-N,B
2790,A20-B-N,A21-B-N,B
2791,A21-B-N,A22-B-N,B
2792,A22-B-N,A24-B-N,B
2793,A24-B-N,A15-B-N,B
2794,D04-B-N,D03-B-N,B
2795,D05-B-N,D04-B-N,B
2796,D06-B-N,D05-B-N,B
2797,D07-B-N,D08-B-N,B
2798,D07-B-N,D06-B-N,B
2799,D09-B-N,D10-B-N,B
2800,D09-B-N,D08-B-N,B
2801,D10-B-N,D11-B-N,B
2802,D11-B-N,D12-B-N,B
2803,D12-B-N,D13-B-N,B
2804,D13-B-N,A15-B-N,B
2805,D13-B-N,A14-B-N,B
2806,D14-B-N,D15-B-N,B
2807,D14-B-N,A24-B-N,B
2808,D15-B-N,D16-B-N,B
2809,D16-B-N,D17-B-N,B
2810,D17-B-N,D20-B-N,B
2811,D21-B-N,D20-B-N,B
2812,D21-B-N,D22-B-N,B
2813,D25-B-N,D26-B-N,B
2814,D25-B-N,D24-B-N,B
2815,D27-B-N,D26-B-N,B
2816,D28-B-N,D26-B-N,B
2817,D28-B-N,D27-B-N,B
2818,D29-B-N,D28-B-N,B
2819,D30-B-N,D29-B-N,B
2820,D30-B-N,D31-B-N,B
2821,D31-B-N,D28-B-N,B
2822,D32-B-N,D33-B-N,B
2823,D32-B-N,D31-B-N,B
2824,D34-B-N,D35-B-N,B
2825,D34-B-N,D33-B-N,B
2826,D35-B-N,D31-B-N,B
2827,D37-B-N,D35-B-N,B
2828,D38-B-N,D39-B-N,B
2829,D38-B-N,D37-B-N,B
2830,D39-B-N,D40-B-N,B
2831,D39-B-N,D35-B-N,B
2832,R30-B-N,D24-B-N,B
2833,R30-B-N,D22-B-N,B
2834,A24-D-N,A15-D-N,D
2835,B12-D-N,B13-D-N,D
2836,B14-D-N,B15-D-N,D
2837,B14-D-N,B13-D-N,D
2838,B16-D-N,B15-D-N,D
2839,B16-D-N,B17-D-N,D
2840,B17-D-N,B18-D-N,D
2841,B18-D-N,B19-D-N,D
2842,B20-D-N,B19-D-N,D
2843,B21-D-N,B20-D-N,D
2844,B22-D-N,B21-D-N,D
2845,B23-D-N,B22-D-N,D
2846,B23-D-N,D43-D-N,D
2847,D03-D-N,D01-D-N,D
2848,D04-D-N,D03-D-N,D
2849,D05-D-N,D04-D-N,D
2850,D06-D-N,D05-D-N,D
2851,D07-D-N,D08-D-N,D
2852,D07-D-N,D06-D-N,D
2853,D09-D-N,D10-D-N,D
2854,D09-D-N,D08-D-N,D
2855,D10-D-N,D11-D-N,D
2856,D11-D-N,D12-D-N,D
2857,D12-D-N,D13-D-N,D
2858,D13-D-N,A15-D-N,D
2859,D14-D-N,D15-D-N,D
2860,D14-D-N,A24-D-N,D
2861,D15-D-N,D16-D-N,D
2862,D16-D-N,D17-D-N,D
2863,D17-D-N,D20-D-N,D
2864,D21-D-N,D20-D-N,D
2865,D21-D-N,D22-D-N,D
2866,R31-D-N,D22-D-N,D
2867,R36-D-N,B12-D-N,D
2868,R36-D-N,R31-D-N,D
2869,A25-E-N,A27-E-N,E
2870,A27-E-N,A28-E-N,E
2871,A30-E-N,A28-E-N,E
2872,A31-E-N,A30-E-N,E
2873,A31-E-N,A28-E-N,E
2874,A32-E-N,A34-E-N,E
2875,A32-E-N,A31-E-N,E
2876,A33-E-N,A34-E-N,E
2877,A33-E-N,A32-E-N,E
2878,A34-E-N,E01-E-N,E
2879,D14-E-N,A25-E-N,E
2880,F05-E-N,F06-E-N,E
2881,F06-E-N,G07-E-N,E
2882,F06-E-N,G08-E-N,E
2883,F07-E-N,G08-E-N,E
2884,F07-E-N,F06-E-N,E
2885,F09-E-N,F11-E-N,E
2886,F12-E-N,F11-E-N,E
2887,F12-E-N,D14-E-N,E
2888,G05-E-N,G06-E-N,E
2889,G06-E-N,G07-E-N,E
2890,G14-E-N,G08-E-N,E
2891,G21-E-N,G14-E-N,E
2892,G21-E-N,F09-E-N,E
2893,A41-F-N,F20-F-N,F
2894,A41-F-N,F18-F-N,F
2895,B04-F-N,B06-F-N,F
2896,B06-F-N,B08-F-N,F
2897,B08-F-N,B10-F-N,F
2898,D15-F-N,D16-F-N,F
2899,D15-F-N,B10-F-N,F
2900,D16-F-N,D17-F-N,F
2901,D17-F-N,D20-F-N,F
2902,D17-F-N,D18-F-N,F
2903,D18-F-N,D19-F-N,F
2904,D19-F-N,D20-F-N,F
2905,D21-F-N,D20-F-N,F
2906,D42-F-N,F39-F-N,F
2907,D43-F-N,D42-F-N,F
2908,F01-F-N,F02-F-N,F
2909,F03-F-N,F02-F-N,F
2910,F04-F-N,F03-F-N,F
2911,F05-F-N,F06-F-N,F
2912,F05-F-N,F04-F-N,F
2913,F06-F-N,G08-F-N,F
2914,F07-F-N,G08-F-N,F
2915,F07-F-N,F06-F-N,F
2916,F14-F-N,D21-F-N,F
2917,F15-F-N,F14-F-N,F
2918,F15-F-N,F16-F-N,F
2919,F16-F-N,F18-F-N,F
2920,F21-F-N,F20-F-N,F
2921,F22-F-N,F21-F-N,F
2922,F23-F-N,F22-F-N,F
2923,F23-F-N,F24-F-N,F
2924,F25-F-N,F24-F-N,F
