,station_id,station_line,boro,lines,long,name,Complex ID,lat,line_,dir,pf_id,node_id
1230,F23,1,Bk,F G,-73.989779,4 Av,608,40.671471999999994,F,N,F23-F-N,F23-F-N
1231,F23,2,Bk,F G,-73.989179,4 Av,608,40.670871999999996,G,N,F23-G-N,F23-G-N
1232,F24,1,Bk,F G,-73.980305,7 Av,240,40.667471,F,N,F24-F-N,F24-F-N
1233,F24,2,Bk,F G,-73.979705,7 Av,240,40.666871,G,N,F24-G-N,F24-G-N
1234,F25,1,Bk,F G,-73.979493,15 St - Prospect Park,241,40.661564999999996,F,N,F25-F-N,F25-F-N
1235,F25,2,Bk,F G,-73.978893,15 St - Prospect Park,241,40.660965,G,N,F25-G-N,F25-G-N
1236,F26,1,Bk,F G,-73.975776,Fort Hamilton Pkwy,242,40.651982,F,N,F26-F-N,F26-F-N
1237,F26,2,Bk,F G,-73.97517599999999,Fort Hamilton Pkwy,242,40.651382,G,N,F26-G-N,F26-G-N
1238,F27,1,Bk,F,-73.979678,Church Av,243,40.645241,F,N,F27-F-N,F27-F-N
1239,F29,1,Bk,F,-73.978172,Ditmas Av,244,40.637319,F,N,F29-F-N,F29-F-N
1240,F30,1,Bk,F,-73.976971,18 Av,245,40.630955,F,N,F30-F-N,F30-F-N
1241,F31,1,Bk,F,-73.976127,Avenue I,246,40.626521999999994,F,N,F31-F-N,F31-F-N
1242,F32,1,Bk,F,-73.975264,Bay Pkwy,247,40.621969,F,N,F32-F-N,F32-F-N
1243,F33,1,Bk,F,-73.974197,Avenue N,248,40.616339999999994,F,N,F33-F-N,F33-F-N
1244,F34,1,Bk,F,-73.973022,Avenue P,249,40.610144,F,N,F34-F-N,F34-F-N
1245,F35,1,Bk,F,-73.972361,Kings Hwy,250,40.604417,F,N,F35-F-N,F35-F-N
1246,F36,1,Bk,F,-73.973357,Avenue U,251,40.597263,F,N,F36-F-N,F36-F-N
1247,F38,1,Bk,F,-73.97425,Avenue X,252,40.590819999999994,F,N,F38-F-N,F38-F-N
1248,F39,1,Bk,F,-73.974574,Neptune Av,253,40.582210999999994,F,N,F39-F-N,F39-F-N
1249,G05,1,Q,E J Z,-73.801109,Jamaica Center - Parsons/Archer,278,40.703346999999994,E,N,G05-E-N,G05-E-N
1250,G05,2,Q,E J Z,-73.80050899999999,Jamaica Center - Parsons/Archer,278,40.702746999999995,J,N,G05-J-N,G05-J-N
1251,G05,3,Q,E J Z,-73.801109,Jamaica Center - Parsons/Archer,278,40.702147,Z,N,G05-Z-N,G05-Z-N
1252,G06,1,Q,E J Z,-73.807969,Sutphin Blvd - Archer Av - JFK Airport,279,40.701685999999995,E,N,G06-E-N,G06-E-N
1253,G06,2,Q,E J Z,-73.807369,Sutphin Blvd - Archer Av - JFK Airport,279,40.701086,J,N,G06-J-N,G06-J-N
1254,G06,3,Q,E J Z,-73.807969,Sutphin Blvd - Archer Av - JFK Airport,279,40.700486,Z,N,G06-Z-N,G06-Z-N
1255,G07,1,Q,E,-73.816859,Jamaica - Van Wyck,280,40.703765999999995,E,N,G07-E-N,G07-E-N
1256,G08,1,Q,E F M R,-73.844521,Forest Hills - 71 Av,261,40.722891,E,N,G08-E-N,G08-E-N
1257,G08,2,Q,E F M R,-73.843921,Forest Hills - 71 Av,261,40.722291,F,N,G08-F-N,G08-F-N
1258,G08,3,Q,E F M R,-73.844521,Forest Hills - 71 Av,261,40.721691,M,N,G08-M-N,G08-M-N
1259,G08,4,Q,E F M R,-73.845121,Forest Hills - 71 Av,261,40.722291,R,N,G08-R-N,G08-R-N
1260,G09,1,Q,M R,-73.852719,67 Av,262,40.727723,M,N,G09-M-N,G09-M-N
1261,G09,2,Q,M R,-73.85211899999999,67 Av,262,40.727123,R,N,G09-R-N,G09-R-N
1262,G10,1,Q,M R,-73.861604,63 Dr - Rego Park,263,40.731046,M,N,G10-M-N,G10-M-N
1263,G10,2,Q,M R,-73.861004,63 Dr - Rego Park,263,40.730446,R,N,G10-R-N,G10-R-N
1264,G11,1,Q,M R,-73.869229,Woodhaven Blvd,264,40.734306,M,N,G11-M-N,G11-M-N
1265,G11,2,Q,M R,-73.868629,Woodhaven Blvd,264,40.733706,R,N,G11-R-N,G11-R-N
1266,G12,1,Q,M R,-73.877223,Grand Av - Newtown,265,40.738215,M,N,G12-M-N,G12-M-N
1267,G12,2,Q,M R,-73.876623,Grand Av - Newtown,265,40.737615,R,N,G12-R-N,G12-R-N
1268,G13,1,Q,M R,-73.882017,Elmhurst Av,266,40.743654,M,N,G13-M-N,G13-M-N
1269,G13,2,Q,M R,-73.881417,Elmhurst Av,266,40.743054,R,N,G13-R-N,G13-R-N
1270,G14,1,Q,E F M R,-73.891338,Jackson Hts - Roosevelt Av,616,40.747844,E,N,G14-E-N,G14-E-N
1271,G14,2,Q,E F M R,-73.890738,Jackson Hts - Roosevelt Av,616,40.747244,F,N,G14-F-N,G14-F-N
1272,G14,3,Q,E F M R,-73.891338,Jackson Hts - Roosevelt Av,616,40.746644,M,N,G14-M-N,G14-M-N
1273,G14,4,Q,E F M R,-73.89193800000001,Jackson Hts - Roosevelt Av,616,40.747244,R,N,G14-R-N,G14-R-N
1274,G15,1,Q,M R,-73.898453,65 St,268,40.750868999999994,M,N,G15-M-N,G15-M-N
1275,G15,2,Q,M R,-73.897853,65 St,268,40.750268999999996,R,N,G15-R-N,G15-R-N
1276,G16,1,Q,M R,-73.906006,Northern Blvd,269,40.754084999999996,M,N,G16-M-N,G16-M-N
1277,G16,2,Q,M R,-73.905406,Northern Blvd,269,40.753485,R,N,G16-R-N,G16-R-N
1278,G18,1,Q,M R,-73.913333,46 St,270,40.757512,M,N,G18-M-N,G18-M-N
