,station_id,station_line,lat,Complex ID,name,lines,boro,long,line_,dir,pf_id,node_id
2005,X1,station,40.642025,X1,Brooklyn Army Terminal,,Bk,-74.028859,IBX,station,station,X1
2006,X5,station,40.630902,X5,Brooklyn College,,Bk,-73.947985,IBX,station,station,X5
2007,X6,station,40.637348,X6,Farragut Rd - Utica Av,,Bk,-73.928442,IBX,station,station,X6
2008,X7,station,40.643589,X7,Ralph Av,,Bk,-73.919353,IBX,station,station,X7
2009,X8,station,40.651228,X8,Rockaway Pkwy,,Bk,-73.908889,IBX,station,station,X8
2010,X12,station,40.700453,X12,Myrtle Av,,Q,-73.894421,IBX,station,station,X12
2011,X14,station,40.733015,X14,74 St,,Q,-73.887789,IBX,station,station,X14
2012,X15,station,40.738486,X15,Queens Blvd,,Q,-73.890111,IBX,station,station,X15
2013,X16,station,40.74653,X16,Jackson Hts ,,Q,-73.894401,IBX,station,station,X16
2014,complex,complex,40.755746,611,42 St - Port Authority Bus Terminal,complex,M,-73.9875808,complex,complex,complex,611c
2015,complex,complex,40.71870125,623,Canal St,complex,M,-74.00058,complex,complex,complex,623c
2016,complex,complex,40.712603,624,Chambers St,complex,M,-74.0095515,complex,complex,complex,624c
2017,complex,complex,40.71008875,628,Fulton St,complex,M,-74.00783824999999,complex,complex,complex,628c
2018,complex,complex,40.751992,610,Grand Central - 42 St,complex,M,-73.97735933333333,complex,complex,complex,610c
2019,complex,complex,40.678896,621,Broadway Jct,complex,Bk,-73.90435599999999,complex,complex,complex,621c
2020,complex,complex,40.68416166666667,617,Atlantic Av - Barclays Ctr,complex,Bk,-73.97778866666665,complex,complex,complex,617c
2021,complex,complex,40.693241,620,Borough Hall,complex,Bk,-73.990642,complex,complex,complex,620c
2022,complex,complex,40.747141,606,Court Sq,complex,Q,-73.945032,complex,complex,complex,606c
2023,complex,complex,40.735065999999996,602,14 St - Union Sq,complex,M,-73.99041633333333,complex,complex,complex,602c
2024,complex,complex,40.737796333333335,601,14 St,complex,M,-73.997732,complex,complex,complex,601c
2025,complex,complex,40.749643,607,34 St - Herald Sq,complex,M,-73.9878865,complex,complex,complex,607c
2026,complex,complex,40.670559499999996,608,4 Av,complex,Bk,-73.9890405,complex,complex,complex,608c
2027,complex,complex,40.7540215,609,42 St - Bryant Pk,complex,M,-73.98326599999999,complex,complex,complex,609c
2028,complex,complex,40.740335,618,14 St,complex,M,-74.002134,complex,complex,complex,618c
2029,complex,complex,40.7573295,612,51 St,complex,M,-73.97048749999999,complex,complex,complex,612c
2030,complex,complex,40.8406375,605,168 St,complex,M,-73.939847,complex,complex,complex,605c
2031,complex,complex,40.762592999999995,613,59 St,complex,M,-73.9676125,complex,complex,complex,613c
2032,complex,complex,40.625657000000004,615,62 St,complex,Bk,-73.996624,complex,complex,complex,615c
2033,complex,complex,40.746746,616,74 St - Broadway,complex,Q,-73.891366,complex,complex,complex,616c
2034,complex,complex,40.8279495,604,161 St - Yankee Stadium,complex,Bx,-73.925741,complex,complex,complex,604c
2035,complex,complex,40.750582,461,Queensboro Plaza,complex,Q,-73.940202,complex,complex,complex,461c
2036,complex,complex,40.8183925,603,149 St - Grand Concourse,complex,Bx,-73.92703449999999,complex,complex,complex,603c
2037,complex,complex,40.7682715,614,59 St - Columbus Circle,complex,M,-73.9818325,complex,complex,complex,614c
2038,complex,complex,40.725606,619,Bleecker St,complex,M,-73.9954315,complex,complex,complex,619c
2039,complex,complex,40.718463,625,Delancey St,complex,M,-73.9877755,complex,complex,complex,625c
2040,complex,complex,40.6705125,626,Botanic Garden,complex,Bk,-73.958688,complex,complex,complex,626c
2041,complex,complex,40.680988,627,Franklin Av,complex,Bk,-73.95633749999999,complex,complex,complex,627c
2042,complex,complex,40.7134275,629,Lorimer St,complex,Bk,-73.95084650000001,complex,complex,complex,629c
2043,complex,complex,40.699622000000005,630,Myrtle - Wyckoff Avs,complex,Bk,-73.9119855,complex,complex,complex,630c
2044,complex,complex,40.702248999999995,635,South Ferry Loop,complex,M,-74.01309950000001,complex,complex,complex,635c
2045,complex,complex,40.692259,636,Jay St - MetroTech,complex,Bk,-73.98664199999999,complex,complex,complex,636c
2046,complex,complex,40.732338,167,W 4 St,complex,M,-74.000495,complex,complex,complex,167c
2047,complex,complex,40.824783,151,145 St,complex,M,-73.944216,complex,complex,complex,151c
2048,complex,complex,40.713154,622,Brooklyn Bridge - City Hall,complex,M,-74.003766,complex,complex,complex,622c
